 Berryfield Apartments,None,None,Ms. Annette Wooley,Phone: ,(479) 717-2674,None,None,None,berryfield@ferguson-apts.com,Fax:  ,(479) 717-2675,None,None,None,https://www.berryfieldapartments.com/,None,None,"2353 Lowell Rd. Springdale, AR 72764",None,None,Apartments
AR316 Industrial Solutions,None,None,Ms. Lisa Baleto,Phone: ,(479) 353-0825,None,None,None,lisa@AR316.com,Fax:  ,None,None,None,None,www.AR316.com,None,None,"160 East Randall Wobbe Rd. Springdale, AR 72764",None,None,Industrial Maintenance/Repair
Food Safety Net Services (FSNS),None,None,Ms. Elizabeth Kirchman,Phone: ,(479) 231-1024,elizabeth.kirchman@fsns.com,Fax:  ,None,None,None,None,www.FSNS.com,None,None,"3559 North Thompson St. Springdale, AR 72764",None,None,None,None,None,Laboratories - Medical/Agriculture/Food
"Whitbeck Laboratories, Inc.",None,None,Gordon Whitbeck,Phone: ,(479) 756-9696,None,None,None,gordonw5@aol.com,Fax:  ,(479) 756-1271,None,None,None,http://www.whitbecklabs.com,None,None,"441 Reinert Dr. Springdale, AR 72764",None,None,Laboratories - Medical/Agriculture/Food
Springdale Public Library,None,None,Marcia Ransom,Phone: ,(479) 750-8180,None,None,None,comments@springdalelibrary.org,Fax:  ,(479) 750-8182,None,None,None,http://www.springdalelibrary.org,None,None,"405 South Pleasant St. Springdale, AR 72764-0000",None,None,Libraries
"America Belt & Hose, LLC",None,None,Ms. Lea Bilyeu,Phone: ,(479) 756-2381,None,None,None,info@americabeltandhose.com,Fax:  ,None,None,None,None,www.americabeltandhose.com,None,None,"1000 South Old Missouri Rd. Springdale, AR 72764",None,None,Manufacturing & Processing
"American Tubing, Inc.",None,None,Mr. HongYong Li,Phone: ,(479) 756-1291,hyli@americantubing.com,Fax:  ,(479) 756-1346,None,None,None,http://www.americantubing.com,None,None,"2191 Ford Ave. Springdale, AR 72764-4701",None,None,None,None,None,Manufacturing & Processing
"Aquaturbo Systems, Inc.",None,None,Ms. Linda Dhein,Phone: ,(479) 927-1300,None,None,None,ldhein@sfa-enviro.com,Fax:  ,(479) 927-0700,None,None,None,https://www.sfa-enviro.com,None,None,"1754 Ford Ave. Springdale, AR 72764",None,None,Manufacturing & Processing
Barrette Outdoor Living,None,None,Ms. Susana Silva,Phone: ,(479) 203-5103,susana.silva@oldcastle.com,Fax:  ,(479) 756-7451,None,None,None,https://www.barretteoutdoorliving.com/,None,None,"801 Jefferson Street Springdale, AR 72764-0000",None,None,None,None,None,Manufacturing & Processing
"Bolt & Screw Supply, Inc.",None,None,Mr. Kevin Collins,Phone: ,(479) 750-3227,None,None,None,kevin@boltandscrewsupply.com,Fax:  ,(479) 750-3410,None,None,None,http://www.boltandscrewsupply.com,None,None,"816 West Randall Wobbe Ln. Springdale, AR 72764-0000",None,None,Manufacturing & Processing
"Cargill, Inc.",None,None,Shane Acosta,Phone: ,(479) 756-4600,None,None,None,shane_acosta@cargill.com,Fax:  ,(479) 756-4767,None,None,None,http://www.cargill.com,None,None,"730 East Randall Wobbe Ln. Springdale, AR 72764",None,None,Manufacturing & Processing
"Carson Engineering and Manufacturing, Inc.",None,None,Mr. Clay Kendrick,Phone: ,(479) 751-2818,None,None,None,info@carsonengineering.com,Fax:  ,(479) 751-2834,None,None,None,http://www.carsonengineering.com,None,None,"1764 Turnbow Ave. Springdale, AR 72764",None,None,Manufacturing & Processing
Chandler Equipment,None,None,Chris Chandler,Phone: ,(479) 751-9771,None,None,None,info@chandlerequipment.com,Fax:  ,(479) 750-1282,None,None,None,http://www.chandlerequipment.com,None,None,"4180 West Sunset Ave. Springdale, AR 72762",None,None,Manufacturing & Processing
Cram-A-Lot,None,None,Mr. Jason Lind,Phone: ,(479) 751-7320,None,None,None,jason@cramalot.com,Fax:  ,(479) 750-3909,None,None,None,http://www.cram-a-lot.com,None,None,"701 Butterfield Coach Rd. Springdale, AR 72765-0229",None,None,Manufacturing & Processing
Darling Ingredients Incorporated,None,None,Mr. John Nessmith,Phone: ,(479) 751-4505,jnessmith@darlingii.com,Fax:  ,None,None,None,None,https://www.darlingii.com/,None,None,"1013 North Jefferson Springdale, AR 72764",None,None,None,None,None,Manufacturing & Processing
"Dayco Products, LLC",None,None,Mr. Matt Horak,Phone: ,(479) 756-7500,matt.horak@dayco.com,Fax:  ,None,None,None,None,http://www.dayco.com,None,None,"1351 Stewart Pl. Springdale, AR 72764-0000",None,None,None,None,None,Manufacturing & Processing
Explore Scientific LLC,None,None,Ms. Amy Elliott,Phone: ,(866) 252-3811,None,None,None,amy@explorescientific.com,Fax:  ,None,None,None,None,http://www.explorescientificusa.com,None,None,"1010 South 48th St. Springdale, AR 72762",None,None,Manufacturing & Processing
FPEC Corporation of Arkansas,None,None,Mr. Sean Davison,Phone: ,(479) 751-9392,None,None,None,arap@fpec.com,Fax:  ,(479) 751-9399,None,None,None,http://www.fpec.com,None,None,"2216 Ford Ave. Springdale, AR 72764-4277",None,None,Manufacturing & Processing
"George's, Inc.",None,None,Mr. Gus Plumb,Phone: ,(479) 927-7785,gus.plumb@georgesinc.com,Fax:  ,(479) 927-7200,None,None,None,http://www.georgesinc.com,None,None,"402 West Robinson Ave. Springdale, AR 72764-0000",None,None,None,None,None,Manufacturing & Processing
"Harris International Laboratories, Inc.",None,None,Ms. Ashley Harvey,Phone: ,(479) 756-9877,None,None,None,info@evapo-rust.com,Fax:  ,(479) 927-3202,None,None,None,www.evapo-rust.com,None,None,"2078 Ford Ave. Springdale, AR 72764",None,None,Manufacturing & Processing
" Kawneer, an Arconic Company",None,None,Mr. Regan Rogers,Phone: ,(479) 756-2740,regan.rogers@arconic.com,Fax:  ,(479) 750-6398,None,None,None,http://www.arconic.com,None,None,"600 Kawneer Dr. Springdale, AR 72764-0000",None,None,None,None,None,Manufacturing & Processing
"Kimbel Mechanical Systems, Inc.",None,None,Ms. Kendra Martin,Phone: ,(479) 756-1099,kendra.martin@kimbel.com,Fax:  ,None,None,None,None,http://www.kimbelmechanical.com,None,None,"1936 North Shiloh Dr. Fayetteville, AR 72704",None,None,None,None,None,Manufacturing & Processing
Lassonde Pappas and Company,None,None,David Combee,Phone: ,(479) 751-4511,david.combee@clementpappas.com,Fax:  ,(479) 751-1440,None,None,None,http://www.lassondepappas.com,None,None,"300 East Huntsville Springdale, AR 72764",None,None,None,None,None,Manufacturing & Processing
"Los Altos Tortilleria, LLC",None,None,Doris Manzo,Phone: ,(479) 751-6207,doris.manzo@losaltostortilla.com,Fax:  ,(479) 751-6229,None,None,None,https://losaltostortilla.com/,None,None,"1930 East Mountain Rd. Springdale, AR 72764",None,None,None,None,None,Manufacturing & Processing
McKee Foods Corporation,None,None,Ms. Justine Webb,Phone: ,(479) 736-3749,None,None,None,justine.webb@mckee.com,Fax:  ,None,None,None,None,http://www.mckeefoods.com,None,None,"406 Henri de Tonti Blvd. Springdale, AR 72762",None,None,Manufacturing & Processing
Midwest Block & Brick,None,None,Mr. Mike Smith,Phone: ,(479) 750-7887,mlsmith@midwestblock.com,Fax:  ,(479) 872-7580,None,None,None,https://residential.midwestblock.com/,None,None,"1589 Electric Ave. Springdale, AR 72764",None,None,None,None,None,Manufacturing & Processing
Newly Weds Foods,None,None,Karen Young,Phone: ,(479) 756-7300,khorton@newlywedsfoods.com,Fax:  ,773-227-4157,None,None,None,http://www.newlywedsfoods.com,None,None,"1111 Angell Dr. Springdale, AR 72764-7916",None,None,None,None,None,Manufacturing & Processing
ORC Products,None,None,Ms. Nicki Goseland,Phone: ,(479) 756-0028,None,None,None,accounting@orcproducts.com,Fax:  ,(479) 756-9490,None,None,None,http://www.orcproducts.com,None,None,"683 Bain St. Springdale, AR 72764",None,None,Manufacturing & Processing
"Pratt Whitney, PSD, Inc.",None,None,Ms. Bernedette Casey,Phone: ,(479) 750-3600,Bernedette.Casey@prattwhitney.com,Fax:  ,860-998-3006,None,None,None,http://www.prattwhitney.com,None,None,"275 East Robinson Ave. Springdale, AR 72764-0000",None,None,None,None,None,Manufacturing & Processing
Rise Baking Company,None,None,Mr. Darrell Froud,Phone: ,(479) 365-2846,None,None,None,d.froud@risebakingcompany.com,Fax:  ,(479) 365-2872,None,None,None,http://www.risebakingcompany.com,None,None,"800 South 40th St. Springdale, AR 72762",None,None,Manufacturing & Processing
Rockline Industries,None,None,Mr. Mike Gawf,Phone: ,(479) 756-9251,magawf@ROCKLINEIND.com,Fax:  ,(479) 927-4345,None,None,None,http://www.rocklineind.com,None,None,"1583 East Mountain Rd. Springdale, AR 72764-0000",None,None,None,None,None,Manufacturing & Processing
Sealed Air Corporation,None,None,Ms. Cindy Allgood,Phone: ,(479) 936-2100,cindy.allgood@sealedair.com,Fax:  ,(479) 619-3500,None,None,None,http://www.sealedair.com,None,None,"4 Bekaert Dr. Rogers, AR 72756",None,None,None,None,None,Manufacturing & Processing
Sonstegard Foods of Arkansas,None,None,Greg Anderson,Phone: ,(479) 872-0700,None,None,None,greg@sonstegard.com,Fax:  ,(479) 872-8333,None,None,None,http://www.sonstegard.com,None,None,"915 North Jefferson St. Springdale, AR 72764",None,None,Manufacturing & Processing
"Tyson Foods, Inc.",None,None,Mr. Jeff Wood,Phone: ,(479) 290-4000,jeff.wood@tyson.com,Fax:  ,(479) 290-7984,None,None,None,http://www.tysonfoods.com,None,None,"2200 Don Tyson Pkwy, CP003 Springdale, AR 72762-0000",None,None,None,None,None,Manufacturing & Processing
VinTech Nano Materials LLC,None,None,Ms. Melissa Jackson,Phone: ,(479) 725-8003,None,None,None,Melissa.Jackson@VinTechNM.com,Fax:  ,None,None,None,None,http://www.vintechnm.com,None,None,"2447 Technology Way Springdale, AR 72761",None,None,Manufacturing & Processing
Blue Crane LLC,None,None,Ms. Crystal Rascoe,Phone: ,(479) 350-9311,None,None,None,crascoe@bluecrane.us,Fax:  ,None,None,None,None,http://www.bluecrane.us,None,None,"702 SE 5th St. Ste. 34 Bentonville, AR 72712",None,None,Marketing Companies & Market Research
CJRW,None,None,Mr. Darin Gray,Phone: ,(479) 263-9515,None,None,None,maxine.williams@cjrw.com,Fax:  ,None,None,None,None,http://www.cjrw.com,None,None,"326 SW A St., Ste. 200 Bentonville, AR 72712-0000",None,None,Marketing Companies & Market Research
The Mullikin Advertising Agency,None,None,Randy Mullikin,Phone: ,(479) 750-0871,None,None,None,randy@mullikinad.com,Fax:  ,(479) 750-2685,None,None,None,http://www.mullikinad.com,None,None,"1391 Plaza Pl Ste. A Springdale, AR 72764",None,None,Marketing Companies & Market Research
Return on Incentives,None,None,Mr. Jay Staggs,Phone: ,(870) 918-8001,None,None,None,info@returnonincentives.com,Fax:  ,None,None,None,None,http://www.returnonincentives.com/,None,None,"4183 Saint Albans Springdale, AR 72764",None,None,Marketing Companies & Market Research
The Advertising Guys,None,None,Mr. Don Young,Phone: ,(479) 755-5621,None,None,None,donyoung@theadvertisingguys.com,Fax:  ,None,None,None,None,www.theadvertisingguys.com,None,None,"14963 Park Ridge Dr. Lowell, AR 72745",None,None,Marketing Companies & Market Research
 Blue Crane LLC,None,None,Ms. Crystal Rascoe,Phone: ,(479) 350-9311,None,None,None,crascoe@bluecrane.us,Fax:  ,None,None,None,None,http://www.bluecrane.us,None,None,"702 SE 5th St. Ste. 34 Bentonville, AR 72712",None,None,Marketing/Social Media
Dave Creek Media,None,None,Ms. Ragan Huse,Phone: ,(479) 595-2546,ragan@davecreekmedia.com,Fax:  ,None,None,None,None,https://davecreekmedia.com/,None,None,"1123 Front St. Conway, AR 72302",None,None,None,None,None,Marketing/Social Media
Preferred Office Technologies,None,None,Mr. Alan Dickinson,Phone: ,(479) 521-6209,adickinson@preferred-office.com,Fax:  ,(479) 521-8986,None,None,None,http://www.preferred-office.com,None,None,"4000 Frontage Rd., Ste. 10 Fayetteville, AR 72703",None,None,None,None,None,Marketing/Social Media
Arts Center of the Ozarks,None,None,Mr. Bryan Gott,Phone: ,(479) 751-5441,None,None,None,info@acozarks.org,Fax:  ,(479) 927-0308,None,None,None,http://www.acozarks.org,None,None,"214 South Main St. Springdale, AR 72764-0000",None,None,Meeting / Reception Facilities
Buffalo Outdoor Center,None,None,Mr. Austin Albers,Phone: ,(870) 861-5514,None,None,None,boc@buffaloriver.com,Fax:  ,(870) 861-5501,None,None,None,www.buffaloriver.com,None,None,"1 Main St. Ponca, AR 72670",None,None,Meeting / Reception Facilities
Cherokee Casino & Hotel West Siloam Springs,None,None,Ms. Shannon Jennings,Phone: ,(800) 754-4111,None,None,None,shannon.jennings@cnent.com,Fax:  ,(918) 422-6229,None,None,None,http://www.cherokeecasino.com,None,None,"2416 Highway 412 Colcord, OK 74338",None,None,Meeting / Reception Facilities
DoubleTree Club by Hilton,None,None,Narry Krushiker,Phone: ,(479) 751-7200,nkrushiker@aol.com,Fax:  ,(479) 756-2900,None,None,None,http://doubletree3.hilton.com/en/hotels/arkansas/doubletree-club-by-hilton-hotel-springdale-FYVDTDT/index.html,None,None,"4677 West Sunset Ave. Springdale, AR 72762-0000",None,None,None,None,None,Meeting / Reception Facilities
Fairfield Inn & Suites,None,None,Ms. Medina Wilson,Phone: ,(479) 419-5722,mwilson1@kinseth.com,Fax:  ,(479) 419-5733,None,None,None,https://www.marriott.com/hotels/travel/spzfi-fairfield-inn-and-suites-springdale/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2,None,None,"1043 Rieff St. Springdale, AR 72762",None,None,None,None,None,Meeting / Reception Facilities
Hampton Inn & Suites,None,None,Ms. Rickey Tatman,Phone: ,(479) 756-3500,rickey.tatman@atriumhospitality.com,Fax:  ,(479) 927-3500,None,None,None,http://www.hamptoninnspringdale.com,None,None,"1700 South 48th St. Springdale, AR 72762-0000",None,None,None,None,None,Meeting / Reception Facilities
Holiday Inn/Northwest Arkansas Convention Center,None,None,Mr. Jayson Janda,Phone: ,(479) 751-8300,None,None,None,hinwafrontdesk@gmail.com,Fax:  ,(479) 751-4640,None,None,None,https://www.ihg.com/holidayinn/hotels/us/en/springdale/spdar/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-SPDAR,None,None,"1500 South 48th St. Springdale, AR 72762-0000",None,None,Meeting / Reception Facilities
The Jones Center,None,None,Mr. Ed Clifford,Phone: ,(479) 756-8090,eclifford@jonesnet.org,Fax:  ,(479) 750-7444,None,None,None,http://www.jonescenter.net,None,None,"922 East Emma Ave. Springdale, AR 72764-0000",None,None,None,None,None,Meeting / Reception Facilities
Residence Inn by Marriott,None,None,Ms. Candice Saner,Phone: ,(479) 872-9100,candice.browning@smchotels.com,Fax:  ,(479) 872-9101,None,None,None,http://www.marriott.com/spzri,None,None,"1740 South 48th St. Springdale, AR 72762",None,None,None,None,None,Meeting / Reception Facilities
Rodeo of the Ozarks,None,None,Rick Culver,Phone: ,(479) 756-0464,None,None,None,rodeo@rodeooftheozarks.org,Fax:  ,(479) 756-6582,None,None,None,https://springdalebenevolentfoundation.com/,None,None,"1423 East Emma Ave. Springdale, AR 72764-0000",None,None,Meeting / Reception Facilities
Shiloh Museum of Ozark History,None,None,Ms. Angie Albright,Phone: ,(479) 750-8165,None,None,None,aalbright@springdalear.gov,Fax:  ,(479) 756-7732,None,None,None,http://www.shilohmuseum.org,None,None,"118 West Johnson Ave. Springdale, AR 72764-4313",None,None,Meeting / Reception Facilities
Springdale Country Club,None,None,Mr. Casey Wroot,Phone: ,(479) 872-2166,casey@springdalecc.com,Fax:  ,(479) 872-2166,None,None,None,http://www.springdalecc.com,None,None,"608 Lakeview Dr. Springdale, AR 72764-0000",None,None,None,None,None,Meeting / Reception Facilities
Springdale Schools,None,None,Dr. Jared Cleveland,Phone: ,(479) 750-8800,jcleveland@sdale.org,Fax:  ,(479) 750-8812,None,None,None,http://www.sdale.org,None,None,"804 West Johnson Ave. Springdale, AR 72764-0000",None,None,None,None,None,Meeting / Reception Facilities
"Cornerstone Wealth Management, LLC",None,None,Mr. Simon Pockrus,Phone: ,(479) 751-3373,simon.pockrus@live.com,Fax:  ,(888) 878-9096,None,None,None,http://www.mycwmusa.com,None,None,"4700 South Thompson St., Ste. C-101 Springdale, AR 72764",None,None,None,None,None,Mortgage Companies
Flat Branch Home Loans,None,None,Mrs. Charity Cummings,Phone: ,(479) 335-1288,None,None,None,charityc@fbhl.com,Fax:  ,None,None,None,None,www.flatbranchhomeloans.com/team/charity-cummings,None,None,"2113 S. 54th St., Ste. 3 Rogers, AR 72758",None,None,Mortgage Companies
Gateway Mortgage,None,None,Mr. Jose Hernandez,Phone: ,(479) 935-1049,None,None,None,jose.hernandez@gatewayloan.com,Fax:  ,(479) 935-1050,None,None,None,http://www.gatewayfirst.com/mortgage,None,None,"7058 West Sunset Ave., Ste. 8 Springdale, AR 72762",None,None,Mortgage Companies
Lower Local,None,None,Ms. Jenny Wellington,Phone: ,(479) 877-0350,jwellington@lower.com,Fax:  ,None,None,None,None,https://local.lower.com/lo/jennywellington,None,None,"1885 County Road 216 Springdale, AR 72764",None,None,None,None,None,Mortgage Companies
U.S. Bank,None,None,Ms. Latisha Pinkston,Phone: ,(479) 235-3175,latisha.pinkston@usbank.com,Fax:  ,None,None,None,None,http://www.usbank.com,None,None,"947 June Drive Springdale, AR 72762",None,None,None,None,None,Mortgage Companies
Northwest Arkansas Democrat-Gazette,None,None,Mr. Brent Powers,Phone: ,(479) 442-1700,None,None,None,bpowers@nwaonline.com,Fax:  ,(479) 571-6457,None,None,None,http://www.nwaonline.com,None,None,"212 North East Ave. Fayetteville, AR 72701-0000",None,None,Newspapers & Publications
 2nd Milk,None,None,Mr. Jason Carney,Phone: ,479-466-4001,jason@2ndmilk.org,Fax:  ,None,None,None,None,www.2ndmilk.org,None,None,"446 Angel Falls Springdale, AR 72764",None,None,None,None,None,Non - Profit
American Legion Post 139,None,None,Mr. Dan Esfeld,Phone: ,(479) 750-1145,None,None,None,sdalelegion139@att.net,Fax:  ,None,None,None,None,https://www.legion.org/,None,None,"200 Spring St. Springdale, AR 7276",None,None,Non - Profit
Arkansas Advocates for Children & Families,None,None,Ms. Laura Kellams,Phone: ,(479) 927-9800,None,None,None,lkellams@aradvocates.org,Fax:  ,None,None,None,None,http://www.aradvocates.org,None,None,"614 East Emma, Ste. 235 Springdale, AR 72764",None,None,Non - Profit
Arkansas Children's Northwest,None,None,Ms. Shannon Hendrix,Phone: ,(479) 725-6800,None,None,None,hendrixso@archildrens.org,Fax:  ,(479) 725-6578,None,None,None,http://www.archildrens.org,None,None,"2601 Gene George Blvd. Springdale, AR 72762",None,None,Non - Profit
"Arkansas Support Network, Inc.",None,None,Ms. Syard Evans,Phone: ,(479) 927-4100,sevans@supports.org,Fax:  ,(479) 927-4101,None,None,None,http://www.supports.org,None,None,"6836 Isaac's Orchard Rd. Springdale, AR 72762",None,None,None,None,None,Non - Profit
 Arkansas World Trade Center,None,None,Denise Thomas,Phone: ,(479) 418-4800,dthomas@arwtc.org,Fax:  ,(479) 418-4801,None,None,None,http://www.arwtc.org,None,None,"3300 Market St., Ste. 400 Rogers, AR 72758",None,None,None,None,None,Non - Profit
Arts Center of the Ozarks,None,None,Mr. Bryan Gott,Phone: ,(479) 751-5441,None,None,None,info@acozarks.org,Fax:  ,(479) 927-0308,None,None,None,http://www.acozarks.org,None,None,"214 South Main St. Springdale, AR 72764-0000",None,None,Non - Profit
"Bost, Inc.",None,None,Ms. Jeanne Hill,Phone: ,(479) 278-2945,None,None,None,jhill@bost.org,Fax:  ,None,None,None,None,http://www.bost.org,None,None,"4500 West Oak Street Rogers, AR 72758",None,None,Non - Profit
Canopy NWA,None,None,Khalid Ahmadzai,Phone: ,(479) 717-7358,None,None,None,admin@canopynwa.org,Fax:  ,None,None,None,None,http://www.canopynwa.org,None,None,"1142 North Futrall Dr. Fayetteville, AR 72703",None,None,Non - Profit
Children's Safety Center,None,None,Elizabeth Shackelford,Phone: ,(479) 872-6183,None,None,None,info@childrenssafetycenter.org,Fax:  ,(479) 750-2190,None,None,None,http://www.childrenssafetycenter.org,None,None,"3242 South Gene George Blvd. Springdale, AR 72762",None,None,Non - Profit
Community Clinic,None,None,Mr. Judd Semingson,Phone: ,(479) 751-7417,None,None,None,ap@communityclinicnwa.org,Fax:  ,(479) 751-4898,None,None,None,http://www.communityclinicnwa.org,None,None,"614 East Emma St., Ste. 300 Springdale, AR 72764",None,None,Non - Profit
Foundation for Economic Education,None,None,Mrs. Sarah Vannatta,Phone: ,(479) 599-8340,None,None,None,svannatta@fee.org,Fax:  ,None,None,None,None,http://www.fee.org,None,None,"1776 Peachtree St. NW, Ste. 710S Atlanta, GA 30309",None,None,Non - Profit
Friendship Community Care,None,None,Ms. Amanda Eakin,Phone: ,(479) 967-2322,eakina@fccare.org,Fax:  ,(479) 967-2876,None,None,None,http://www.fccare.org,None,None,"920 University Dr. Russellville, AR 72801",None,None,None,None,None,Non - Profit
Goodwill Industries of AR,None,None,Ms. Michelle Patterson,Phone: ,(479) 927-0114,None,None,None,cfischer@goodwillar.org,Fax:  ,None,None,None,None,http://www.goodwillar.org,None,None,"5252 West Sunset Ave. Springdale, AR 72762",None,None,Non - Profit
Habitat for Humanity of Washington County,None,None,Ms. Samantha Keith,Phone: ,(479) 575-9696,None,None,None,samanthak@habitatwashingtoncoar.org,Fax:  ,None,None,None,None,www.habitatwashingtoncounty.org,None,None,"1421 East 15th St. Fayetteville, AR 72701",None,None,Non - Profit
International Youth Education & Sports Foundation,None,None,Ms. Simeon Hinsey,Phone: ,(479) 427-9362,None,None,None,info@iyesfoundation.org,Fax:  ,None,None,None,None,http://www.iyesfoundation.org,None,None,"6643 Dearing Rd. Springdale, AR 72762",None,None,Non - Profit
The Jones Center,None,None,Mr. Ed Clifford,Phone: ,(479) 756-8090,eclifford@jonesnet.org,Fax:  ,(479) 750-7444,None,None,None,http://www.jonescenter.net,None,None,"922 East Emma Ave. Springdale, AR 72764-0000",None,None,None,None,None,Non - Profit
NOARK - NWA Human Resource Association,None,None,Ms. Misty McGlothlin,Phone: ,(479) 238-0918,None,None,None,mmcglothlin@siloamsprings.com,Fax:  ,None,None,None,None,http://www.noark.org,None,None,"P.O. Box 1016 Fayetteville, AR 72704",None,None,Non - Profit
Northwest Arkansas Food Bank,None,None,Mr. Kent Eikenberry,Phone: ,(479) 872-8774,None,None,None,info@nwafoodbank.org,Fax:  ,(479) 872-8777,None,None,None,http://www.nwafoodbank.org,None,None,"1378 June Self Dr. Springdale, AR 72764",None,None,Non - Profit
Northwest Arkansas Tobacco Free Coalition,None,None,Mr. Christopher White,Phone: ,(479) 751-7417,None,None,None,cwhite@communityclinicnwa.org,Fax:  ,None,None,None,None,https://www.nwatdfc.com/,None,None,"614 East Emma Suite 300 Springdale, AR 72764",None,None,Non - Profit
"Ozark Juniors Volleyball Club, Inc.",None,None,Mrs. Jenny Lingenfelter,Phone: ,(479) 200-4422,jenny@ozarkjuniors.com,Fax:  ,None,None,None,None,http://www.ozarkjuniors.com,None,None,"1515 Burr Oak Dr. Fayetteville, AR 72703",None,None,None,None,None,Non - Profit
Peace At Home Family Shelter,None,None,Ms. Teresa Mills,Phone: ,(479) 444-8310,tmills@peaceathomeshelter.com,Fax:  ,(479) 587-1817,None,None,None,http://www.peaceathomeshelter.org,None,None,"1200 Garland Ave. Fayetteville, AR 72703",None,None,None,None,None,Non - Profit
Prism Education Center,None,None,Ms. Rachel Webster,Phone: ,(479) 249-6113,None,None,None,info@prismeducationcenter.org,Fax:  ,None,None,None,None,https://www.prismnorthamerica.org/,None,None,"2855 East Joyce Blvd. Fayetteville, AR 72703",None,None,Non - Profit
Rodeo of the Ozarks,None,None,Rick Culver,Phone: ,(479) 756-0464,None,None,None,rodeo@rodeooftheozarks.org,Fax:  ,(479) 756-6582,None,None,None,https://springdalebenevolentfoundation.com/,None,None,"1423 East Emma Ave. Springdale, AR 72764-0000",None,None,Non - Profit
Ronald McDonald House Charities of Arkoma,None,None,Ms. Leah Jones,Phone: ,(479) 756-5600,None,None,None,stephanie@rmhcofarkoma.org,Fax:  ,None,None,None,None,www.rmhcofarkoma.org,None,None,"1333 Arapaho Ave., Ste. A Springdale, AR 72764",None,None,Non - Profit
Samaritan Shop,None,None,Ms. Shaylan Dillon,Phone: ,(479) 636-4198,None,None,None,sdillon@samcc.org,Fax:  ,(479) 636-5254,None,None,None,http://www.samcc.org,None,None,"2300 West Sunset Ave. Springdale, AR 72764",None,None,Non - Profit
Shiloh Museum of Ozark History,None,None,Ms. Angie Albright,Phone: ,(479) 750-8165,None,None,None,aalbright@springdalear.gov,Fax:  ,(479) 756-7732,None,None,None,http://www.shilohmuseum.org,None,None,"118 West Johnson Ave. Springdale, AR 72764-4313",None,None,Non - Profit
Single Parent Scholarship Fund of Northwest Arkansas,None,None,Mr. Tyler Clark,Phone: ,(479) 254-8550,None,None,None,info@spsfnwa.org,Fax:  ,(479) 254-8885,None,None,None,http://www.spsfnwa.org,None,None,"2601 Southwest D St. Bentonville, AR 72712",None,None,Non - Profit
Springdale Education Association,None,None,Ms. Loretta Mansell,Phone: ,(479) 466-3944,None,None,None,themansells1802@att.net,Fax:  ,None,None,None,None,https://spsef.org/,None,None,"703 Mill Springdale, AR 72764",None,None,Non - Profit
Springdale Housing Authority,None,None,Ms. Joy Hunnicutt,Phone: ,(479) 751-0560,director@springdaleha.org,Fax:  ,(479) 756-8059,None,None,None,https://www.springdalehousingauthority.com/,None,None,"5 Applegate Dr. Springdale, AR 72764-2085",None,None,None,None,None,Non - Profit
Springdale Public Schools Education Foundation,None,None,Mr. Chris Stecklein,Phone: ,(479) 365-2696,chris@spsef.org,Fax:  ,None,None,None,None,www.spsef.org,None,None,"409 North Thompson Springdale, AR 72764",None,None,None,None,None,Non - Profit
Technology & Engineering Knowledge Center,None,None,Mr. Jack Huddleston,Phone: ,(479) 871-8537,None,None,None,nwatekcenter@gmail.com,Fax:  ,None,None,None,None,https://www..tek-center.org,None,None,"2272 Worth Ln., Ste. A Springdale, AR 72764",None,None,Non - Profit
The Alzheimer's Association,None,None,Ms Kirsten Dickins,Phone: ,(501) 265-0027,kedickins@alz.org,Fax:  ,(501) 265-0037,None,None,None,http://www.alz.org/arkansas,None,None,"11300 North Rodney Parham Rd., Ste. 205A Little Rock, AR 72212",None,None,None,None,None,Non - Profit
The Spark Foundation,None,None,Ms. Carey Ashworth,Phone: ,(479) 340-2162,None,None,None,contact@mysparkfoundation.org,Fax:  ,None,None,None,None,http://www.mysparkfoundation.org,None,None,"150 North Skyline Dr. Fayetteville, AR 7271",None,None,Non - Profit
Turpentine Creek Wildlife Refuge,None,None,Ms. Cheryl King,Phone: ,(479) 253-5841,None,None,None,tigers@turpentinecreek.org,Fax:  ,None,None,None,None,http://www.turpentinecreek.org,None,None,"239 Turpentine Creek Ln. Eureka Springs, AR 72632",None,None,Non - Profit
 Tyson Family Foundation,None,None,Ms. Jordan Garner,Phone: ,(479) 966-9471,jordan@ivythirtyfive.com,Fax:  ,None,None,None,None,https://www.tysonfoods.com/who-we-are/giving-back/corporate-giving,None,None,"P.O. Box 1828 Fayetteville, AR 72701",None,None,None,None,None,Non - Profit
United Way of NW Arkansas,None,None,Ms. Dina Wood,Phone: ,(479) 750-1221,dwood@unitedwaynwa.org,Fax:  ,None,None,None,None,http://www.unitedwaynwa.org,None,None,"100 Parkwood St. Lowell, AR 72745-0000",None,None,None,None,None,Non - Profit
Advanced Family Eye Care,None,None,Dr. Micah Thomason,Phone: ,(479) 750-3937,drthomason@springdaleeyedoctor.com,Fax:  ,(479) 750-3943,None,None,None,www.springdaleeyedoctor.com,None,None,"1127 south Gutensohn Rd., Ste. 101 Springdale, AR 72762",None,None,None,None,None,Optical - Optometrists/Opticians/Ophthalmologists/
